player_id,player_name,event_date,event_week,prev_surface,next_surface,wr_before,wr_after,STI_raw,STI_weighted,tier_mode
A006,Ronald Agenor,1994-11-07,1994-11-01,Hard,Carpet,0.0,0.3333333333333333,-333332.3333333333,-366665.56666666665,A
A006,Ronald Agenor,1995-01-02,1994-12-27,Carpet,Hard,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,3.2999900999475253e-06,A
A006,Ronald Agenor,1995-02-03,1995-01-31,Hard,Clay,0.6666666666666666,0.6666666666666666,1.0,1.54,A
A006,Ronald Agenor,1995-02-13,1995-02-07,Clay,Carpet,0.3333333333333333,0.3333333333333333,1.0,1.1,A
A006,Ronald Agenor,1995-03-20,1995-03-14,Carpet,Clay,0.3333333333333333,0.3333333333333333,1.0,1.0,B
A006,Ronald Agenor,1995-09-11,1995-09-05,Clay,Hard,0.0,0.3333333333333333,-333332.3333333333,-366665.56666666665,B
A006,Ronald Agenor,1995-10-16,1995-10-10,Hard,Carpet,0.6666666666666666,0.0,1.4999977500096406e-06,1.6499975250106047e-06,A
A006,Ronald Agenor,1996-02-12,1996-02-06,Carpet,Hard,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,2.9999909999522956e-06,B
A006,Ronald Agenor,1996-07-22,1996-07-16,Carpet,Hard,0.0,0.6666666666666666,-666665.6666666666,-666665.6666666666,B
A006,Ronald Agenor,1996-07-29,1996-07-23,Hard,Clay,0.0,0.3333333333333333,-333332.3333333333,-513331.7933333333,A
A006,Ronald Agenor,1998-04-03,1998-03-31,Clay,Hard,0.0,0.3333333333333333,-333332.3333333333,-403332.12333333335,A
A006,Ronald Agenor,1998-05-04,1998-04-28,Hard,Clay,0.6666666666666666,1.0,0.500000749998875,0.7000010499984249,B
A006,Ronald Agenor,1999-02-08,1999-02-02,Clay,Hard,0.6666666666666666,0.3333333333333333,0.500000749998875,0.6050009074986389,A
A006,Ronald Agenor,1999-04-05,1999-03-30,Hard,Clay,0.3333333333333333,0.3333333333333333,1.0,1.54,A
A006,Ronald Agenor,1999-08-16,1999-08-10,Clay,Hard,0.3333333333333333,0.3333333333333333,1.0,1.2100000000000002,A
A006,Ronald Agenor,1999-09-13,1999-09-07,Hard,Clay,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,4.619986139926535e-06,A
A006,Ronald Agenor,1999-09-27,1999-09-21,Clay,Hard,0.3333333333333333,0.3333333333333333,1.0,1.2100000000000002,A
A006,Ronald Agenor,2000-02-21,2000-02-15,Hard,Clay,0.3333333333333333,0.3333333333333333,1.0,1.54,A
A006,Ronald Agenor,2000-06-12,2000-06-06,Clay,Grass,0.3333333333333333,0.0,2.9999909999522956e-06,5.849982449906977e-06,G
A006,Ronald Agenor,2000-07-10,2000-07-04,Grass,Clay,0.3333333333333333,0.0,2.9999909999522956e-06,4.949985149921288e-06,A
A006,Ronald Agenor,2000-07-24,2000-07-18,Clay,Hard,0.0,0.3333333333333333,-333332.3333333333,-403332.12333333335,A
A007,Juan Aguilera,1991-03-04,1991-02-26,Carpet,Hard,0.0,0.5,-499999.0,-649998.7000000001,M
A007,Juan Aguilera,1991-04-01,1991-03-26,Hard,Clay,0.3333333333333333,0.3333333333333333,1.0,1.54,A
